url,approximate_value,number_drafted,position
/players/B/BankMi20.htm,0,223,TE
/players/B/BankRo20.htm,13,176,DE
/players/B/BankRo21.htm,0,114,WR
/players/B/BankTa00.htm,3,101,RB
/players/B/BankTo01.htm,66,189,C
/players/B/BankTo00.htm,42,42,QB
/players/B/BankWi20.htm,7,149,G
/players/B/BankMi21.htm,51,100,DE
/players/B/BankWa00.htm,8,42,RB
/players/B/BannJu20.htm,36,139,DT
/players/B/BannZa00.htm,0,137,OG
/players/B/BannAl00.htm,1,140,WR
/players/B/BannBr20.htm,9,116,LB
/players/B/BanoBe00.htm,2,49,EDGE
/players/B/BansAl20.htm,3,71,LB
/players/B/BantBr00.htm,0,106,TE
/players/B/BantTu20.htm,22,239,LOLB
/players/B/BarbGa00.htm,58,74,DB
/players/B/BarbRo20.htm,0,184,NT
/players/B/BarbBo20.htm,18,51,DE
/players/B/BarbDo99.htm,4,173,DB
/players/B/BarbKa20.htm,0,124,RB
/players/B/BarbKu20.htm,4,42,LB
/players/B/BarbMa00.htm,5,30,RB
/players/B/BarbMa01.htm,40,109,RB
/players/B/BarbMi00.htm,4,112,WR
/players/B/BarbMi01.htm,28,48,TE
/players/B/BarbRo00.htm,114,66,DB
/players/B/BarbSh20.htm,39,113,ROLB
/players/B/BarbSt00.htm,61,25,T
/players/B/BarbTi00.htm,99,36,RB
/players/B/BarbAl20.htm,21,119,T
/players/B/BardRa00.htm,4,85,WR
/players/B/BareJo20.htm,6,42,LB
/players/B/BareKe20.htm,0,113,TE
/players/B/BarkLe20.htm,14,177,LILB
/players/B/BarkRo20.htm,41,98,DE
/players/B/BarkMa00.htm,5,98,QB
/players/B/BarkSa00.htm,24,2,RB
/players/B/BarkJo00.htm,35,92,T
/players/B/BarkRa99.htm,0,201,DB
/players/B/BarkJe00.htm,44,9,TE
/players/B/BarlCo20.htm,0,129,DB
/players/B/BarlKe00.htm,36,80,RB
/players/B/BarlRe00.htm,8,110,WR
/players/B/BarnTo20.htm,21,207,DT
/players/B/BarnKe00.htm,4,182,RB
/players/B/BarnAn99.htm,7,134,LB
/players/B/BarnBi00.htm,21,19,HB
/players/B/BarnCh00.htm,0,101,E
/players/B/BarnEr00.htm,87,42,DB
/players/B/BarnGa00.htm,6,69,WR
/players/B/BarnJe20.htm,20,139,LOLB
/players/B/BarnJo00.htm,2,231,WR
/players/B/BarnKe99.htm,2,80,DB
/players/B/BarnKh20.htm,54,52,T
/players/B/BarnLa20.htm,0,75,FB
/players/B/BarnLa00.htm,2,151,RB
/players/B/BarnLe20.htm,2,138,WR
/players/B/BarnLi20.htm,3,176,DE
/players/B/BarnMi20.htm,5,97,DB
/players/B/BarnMi00.htm,42,35,DT
/players/B/BarnPa20.htm,0,110,QB
/players/B/BarnPe20.htm,52,136,LB
/players/B/BarnRa20.htm,1,225,DB
/players/B/BarnRo20.htm,13,176,LB
/players/B/BarnWa20.htm,20,21,DT
/players/B/BarnBi20.htm,12,75,DE
/players/B/BarnDe01.htm,17,14,DE
/players/B/BarnDo20.htm,3,118,DE
/players/B/BarnFr00.htm,44,77,WR
/players/B/BarnHa20.htm,24,101,DB
