url,approximate_value,number_drafted,position
/players/A/AllrJo00.htm,3,38,TE
/players/A/AlltJo20.htm,-1,-1,T
/players/A/AlmxJe20.htm,5,41,DT
/players/A/AlmoBe20.htm,0,-1,WR
/players/A/AlonKi00.htm,33,46,ILB
/players/A/AlphGe20.htm,1,-1,WR
/players/A/AlstJo20.htm,6,-1,LB
/players/A/AlstLy20.htm,1,-1,WR
/players/A/AlstMa00.htm,12,-1,TE
/players/A/AlstOB20.htm,7,-1,LB
/players/A/AlstRi20.htm,1,-1,WR
/players/A/AlstMi00.htm,48,35,FB
/players/A/AltxJo00.htm,74,-1,T
/players/A/AlthJi20.htm,2,-1,DT
/players/A/AluaTy99.htm,41,-1,DT
/players/A/AlufAu00.htm,0,-1,DT
/players/A/alvarwil01.htm,0,-1,K
/players/A/AlveSt20.htm,0,-1,TE
/players/A/AlvoSt20.htm,7,-1,DT
/players/A/AlwaTo20.htm,3,-1,G
/players/A/AlwoLa00.htm,98,9,FL
/players/A/AlzaLy00.htm,86,-1,DE
/players/A/AmadUg00.htm,3,-1,S
/players/A/AmanEu20.htm,30,-1,C
/players/A/AmarJa00.htm,4,49,TE
/players/A/AmatKe20.htm,7,-1,C
/players/A/AmayJo00.htm,0,-1,DB
/players/A/AmbeJo00.htm,-1,-1,DB
/players/A/AmbrAs00.htm,57,29,DB
/players/A/AmbrDi20.htm,40,-1,LB
/players/A/AmbrJo20.htm,-1,-1,C
/players/A/AmbrWa20.htm,-1,-1,G
/players/A/AmecAl00.htm,3,-1,FB
/players/A/AmenDa00.htm,42,-1,WR
/players/A/AmerDa00.htm,27,51,CB
/players/A/AmerGl20.htm,4,-1,DB
/players/A/AmesDa00.htm,1,-1,HB
/players/A/AmeyFr00.htm,1,-1,WR
/players/A/AmeyVi20.htm,1,-1,DE
/players/A/AmmaRi20.htm,6,-1,DE
/players/A/AmosAd00.htm,40,-1,FS
/players/A/AmslMa20.htm,16,-1,DE
/players/A/AmstJo20.htm,-1,-1,C
/players/A/AmukPr00.htm,45,-1,CB
/players/A/AmunNo20.htm,-1,-1,G
/players/A/AmunGe00.htm,4,-1,RB
/players/A/AnaeBr00.htm,0,-1,DL
/players/A/AnanVi20.htm,-1,-1,HB
/players/A/AnchTr00.htm,0,-1,OL
/players/A/AndaRu20.htm,-1,-1,G
/players/A/AndeKi00.htm,37,-1,RB
/players/A/AndeJa20.htm,1,-1,G
/players/A/andermor01.htm,51,-1,K
/players/A/AndeSt20.htm,-1,-1,T
/players/A/Andexx20.htm,-1,-1,WB
/players/A/AndeAb00.htm,1,-1,DT
/players/A/AndeAl20.htm,-1,-1,G
/players/A/AndeAl00.htm,22,-1,RB
/players/A/AndeAn23.htm,0,-1,RB
/players/A/AndeAn20.htm,1,-1,RB
/players/A/AndeAn21.htm,0,-1,DB
/players/A/AndeAn22.htm,4,-1,DT
/players/A/AndeAr20.htm,0,-1,LB
/players/A/AndeAr21.htm,16,-1,T
/players/A/AndeBe20.htm,25,-1,G
/players/A/AndeBi20.htm,-1,-1,DE
/players/A/AndeBi00.htm,18,-1,E
/players/A/AndeBi01.htm,-1,-1,DB
